"date_mdy","journal_entry","location","year","month","longitude","latitude","item"
1884-10-17,"Wind Northerly commenced loading In the forenoon but did not get loaded untill three oclock PM got bill of Laden and towed from the coal dock at Port Johnson to Rickers Island and anchored there at 7.30 PM with a very light air N.N.E bound to Boston","Boston",1884,10,-71.057083,42.361145,"coal"
1884-10-23,"Wind moderate and baffling. at 10.30 am when the wind got fixed SouthWest. got underway at Booth bay but when the sun set we were of Musquito Island the wind came of Northerly and looked very bad and at 7 oclock PM passed into the Mussle Ridges and anchored in Lobster coal","Boothbay",1884,10,-69.633497466,43.87249651,"coal"
1884-12-24,"Wind North West and cold. Finished hauling my coal home from the Steam boat wharf","Winter Harbor",1884,12,-68.09811741,44.39116851,"coal"
1872-08-06,"Wind South Made a litter for boat finished haying hauled in 16 cocks went to Temperance lecture in evening Mr Hansenn & Mrs Fremeh","Winter Harbor",1872,8,-68.09811741,44.39116851,"farm"
1872-10-30,"Took Hayrick apart put it away done some chored up for fall","Winter Harbor",1872,10,-68.09811741,44.39116851,"farm"
1873-05-14,"The wind W.N.W. blowed heavy. commenced farming plowing","Winter Harbor",1873,5,-68.09811741,44.39116851,"farm"
1873-05-15,"The wind W.N.W. farming plowing Geo. Pendleton taken for stealing acknowledge the deed breaking into C. Stevens store","Winter Harbor",1873,5,-68.09811741,44.39116851,"farm"
1873-05-23,"The wind southerly foggy farming planting corn squashes beans pumpkins potatoes peas etc.","Winter Harbor",1873,5,-68.09811741,44.39116851,"farm"
1873-05-28,"The wind Southly foggy work for Edmond Grover with team farming","Winter Harbor",1873,5,-68.09811741,44.39116851,"farm"
1873-05-31,"The wind N.W.and.S.W finished farming in the oat field painted closer etc. went to Lodge of Good Templars","Winter Harbor",1873,5,-68.09811741,44.39116851,"farm"
1873-07-16,"The wind N.N.W. commenced haying","Winter Harbor",1873,7,-68.09811741,44.39116851,"farm"
1873-07-21,"The wind N.W. commenced haying again put up 28 stacks","Winter Harbor",1873,7,-68.09811741,44.39116851,"farm"
1873-07-24,"The wind N.W all day went to Bar Harbor after ship stores for the Schr Signal hauled in the last load of hay, recd letters from G. N. Loomis G. L. Hodgkins","Winter Harbor",1873,7,-68.09811741,44.39116851,"farm"
1873-07-24,"The wind N.W all day went to Bar Harbor after ship stores for the Schr Signal hauled in the last load of hay, recd letters from G. N. Loomis G. L. Hodgkins","Winter Harbor",1873,7,-68.09811741,44.39116851,"farm"
1874-05-30,"The wind out Southerly worked apart of fore noon farming for the first time in 1874","Winter Harbor",1874,5,-68.09811741,44.39116851,"farm"
1874-06-01,"The wind North East work farming","Winter Harbor",1874,6,-68.09811741,44.39116851,"farm"
1874-06-02,"The wind Northerly in forenoon S.W. afternoon got provisions on board in fore noon work farming in afternoon","Winter Harbor",1874,6,-68.09811741,44.39116851,"farm"
1874-07-31,"The wind South West commenced haying","Winter Harbor",1874,7,-68.09811741,44.39116851,"farm"
1874-08-03,"The wind North West and pleasant haying hauled in 15 stacks","Winter Harbor",1874,8,-68.09811741,44.39116851,"farm"
1874-08-04,"The wind Westerly haying hauled in 12 stacks of hay","Winter Harbor",1874,8,-68.09811741,44.39116851,"farm"
1874-08-05,"The wind Southerly haying hauled in 12 stacks of hay","Winter Harbor",1874,8,-68.09811741,44.39116851,"farm"
1874-08-06,"The wind Northerly and Easterly over cast poor hay day mowed all forenoon raked in afternoon finished mowing","Winter Harbor",1874,8,-68.09811741,44.39116851,"farm"
1874-08-07,"The wind Southerly hayed in 18 stacks of hay","Winter Harbor",1874,8,-68.09811741,44.39116851,"farm"
1874-08-11,"The wind Southerly clear and warm opened hay and hauled in one load of 20 stacks","Winter Harbor",1874,8,-68.09811741,44.39116851,"farm"
1874-08-16,"The wind NorthWest and pleasant opened hay turned it hauled in 36 stacks of hay","Winter Harbor",1874,8,-68.09811741,44.39116851,"farm"
1875-05-18,"The wind Easterly and pleasant. getting ready to do some farming","Winter Harbor",1875,5,-68.09811741,44.39116851,"farm"
1875-07-19,"The wind N.N.W. Commenced haying mowing in forenoon","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-21,"The wind Southerly poor hay day. work in shop","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Turtle Island",1875,7,-70.03422,44.43423,"farm"
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-25,"The wind N. West. and pleasant went on Egg Rock to see the walls of the new Light house. polled in 6 stacks of hay in the after noon.","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-25,"The wind N. West. and pleasant went on Egg Rock to see the walls of the new Light house. polled in 6 stacks of hay in the after noon.","Egg Rock",1875,7,-68.138067,44.354544,"farm"
1875-07-25,"The wind N. West. and pleasant went on Egg Rock to see the walls of the new Light house. polled in 6 stacks of hay in the after noon.","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-29,"The wind Southerly mowed in forenoon hauled in 19 stacks of hay in afternoon","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-30,"The wind Southerly hauled in 10 stacks of hay mowed in fore noon raked up in afternoon","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-07-31,"The wind N. W. very fine day mowed in forenoon hauled in 15 stacks of hay in afternoon","Winter Harbor",1875,7,-68.09811741,44.39116851,"farm"
1875-08-01,"The wind North West. hauled in 30 stacks of hay","Winter Harbor",1875,8,-68.09811741,44.39116851,"farm"
1875-08-03,"The wind Easterly hauled in 25 stacks of hay. heavy rain in afternoon.","Winter Harbor",1875,8,-68.09811741,44.39116851,"farm"
1875-08-15,"The wind Northerly in morning and Southerly in afternoon hauled in 20 stacks of hay and finished haying","Winter Harbor",1875,8,-68.09811741,44.39116851,"farm"
1875-08-23,"The wind Northerly fine breeze. work for J. F. Kingsley haying all day wrote letter to C Stevens Esqr and Hancock Co pub Co.","Winter Harbor",1875,8,-68.09811741,44.39116851,"farm"
1875-08-24,"The wind Southerly haying for J.F. Kingsley","Winter Harbor",1875,8,-68.09811741,44.39116851,"farm"
1875-08-25,"The wind South work haying J.F. Kingsley","Winter Harbor",1875,8,-68.09811741,44.39116851,"farm"
1875-08-26,"The wind N.W. in forenoon and Southerly in afternoon. Work all day haying J.F. Kingsley","Winter Harbor",1875,8,-68.09811741,44.39116851,"farm"
1876-08-04,"The wind Southerly Helped J. F. Kingsley apart of the day getting hay","Winter Harbor",1876,8,-68.09811741,44.39116851,"farm"
1878-06-08,"The wind Southerly Thermometer 54 Commenced farming in morning and finished at night with the help of Charles Harrington at night very heavy rain","Winter Harbor",1878,6,-68.09811741,44.39116851,"farm"
1878-07-22,"The wind Southerly Thermometer 62 degrees helped J.F. Kingsley in the afternoon get his hay. Bought one half ton of hay and put it in T.R. Hammonds barn","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-07-23,"The wind Northerly Thermometer 68° in the forenoon and overcast in the afternoon clear weather Thermometer 72° help J Kingsley all day haying.","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-07-24,"The wind North West. Thermometer 74 degrees Work for J.F. Kingsley haying. hauled in five loads","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-07-25,"The wind Southerly Thermometer 72 degrees work for J.F. Kingsley hauled in two loads of hay.","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-07-26,"The wind Southerly Thermometer 58 moderate rain in the afternoon. Hauled one load of hay in barn in forenoon for J.F.K","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-07-28,"The wind North West Thermometer 72 degrees Help J.F. Kingsley haul in 4 loads of hay. had party from Bar Harbor to stay over night","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-07-28,"The wind North West Thermometer 72 degrees Help J.F. Kingsley haul in 4 loads of hay. had party from Bar Harbor to stay over night","Bar Harbor",1878,7,-68.212219,44.387699,"farm"
1878-07-29,"The wind Southerly helped J.F. Kingsley on his hay finished mowing Company left for Bar Harbor Recd letter from Boston Post Went to W Gouldsboro at night and got some ice.","Bar Harbor",1878,7,-68.212219,44.387699,"farm"
1878-07-29,"The wind Southerly helped J.F. Kingsley on his hay finished mowing Company left for Bar Harbor Recd letter from Boston Post Went to W Gouldsboro at night and got some ice.","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-07-29,"The wind Southerly helped J.F. Kingsley on his hay finished mowing Company left for Bar Harbor Recd letter from Boston Post Went to W Gouldsboro at night and got some ice.","West Gouldsboro",1878,7,-68.09937127,44.46922347,"farm"
1878-07-30,"The wind moderate Southerly and overcast. Thermometer 58 degrees Hauled in load of hay and left it on the rack","Winter Harbor",1878,7,-68.09811741,44.39116851,"farm"
1878-10-03,"Very moderate all day with an air of wind all around the compass The Thermometer 73 above bought one ton of hay of J.T. Kingsley and hauled it home. Helped Colen Pendleton on his dora to make tight","Winter Harbor",1878,10,-68.09811741,44.39116851,"farm"
1879-05-16,"The wind South South East. Thermometer 50 degrees Commenced farming plowed all the forenoon with the help of Henry Sargents cattle. in the afternoon showery and foggy. Farming on the land formerly of the Stephen Rand Estate.","Winter Harbor",1879,5,-68.09811741,44.39116851,"farm"
1879-05-22,"The wind northerly in forenoon and pleasant Thermometer 60° and in the afternoon the wind South West Thermometer 45 work in the afternoon farming with the help of Simon Sargent and Joseph Bickford Saw the Genil Agt of Ln Lewiston","Winter Harbor",1879,5,-68.09811741,44.39116851,"farm"
1879-05-23,"The wind North West. Thermometer 62 degrees work all day farming planting beans Corn Squashes &c","Winter Harbor",1879,5,-68.09811741,44.39116851,"farm"
1879-05-26,"The wind North. Thermometer 51 degrees sewed Cumbers seed and work on the place all day farming","Winter Harbor",1879,5,-68.09811741,44.39116851,"farm"
1879-05-27,"The wind Westerly Thermometer 53 degrees work all day farming for my self.","Winter Harbor",1879,5,-68.09811741,44.39116851,"farm"
1879-06-13,"The wind Came of in the forenoon North West and pleasant. Thermometer 57 degrees wrote letters to Boston Post Daily Traveller and Chas Mckey all of Boston. Went to Prospect and got 450 lbs hay for myself settled with Jennie Tracy","Winter Harbor",1879,6,-68.09811741,44.39116851,"farm"
1879-06-13,"The wind Came of in the forenoon North West and pleasant. Thermometer 57 degrees wrote letters to Boston Post Daily Traveller and Chas Mckey all of Boston. Went to Prospect and got 450 lbs hay for myself settled with Jennie Tracy","Winter Harbor",1879,6,-68.09811741,44.39116851,"farm"
1879-07-21,"The wind Southerly and overcast Thermometer 50 Went to South Gouldsboro Steam boat wharf to cary Miss Greenleaf to take the Str Mt Deserrt. Mowed some hay in the afternoon and poled some in the barn at night.","Winter Harbor",1879,7,-68.09811741,44.39116851,"farm"
1879-07-21,"The wind Southerly and overcast Thermometer 50 Went to South Gouldsboro Steam boat wharf to cary Miss Greenleaf to take the Str Mt Deserrt. Mowed some hay in the afternoon and poled some in the barn at night.","South Gouldsboro",1879,7,-68.109596,44.42952,"farm"
1879-07-21,"The wind Southerly and overcast Thermometer 50 Went to South Gouldsboro Steam boat wharf to cary Miss Greenleaf to take the Str Mt Deserrt. Mowed some hay in the afternoon and poled some in the barn at night.","Winter Harbor",1879,7,-68.09811741,44.39116851,"farm"
1879-07-24,"The wind North pleasant Thermometer 59 degrees took care of hay that was mowed before the storm. The wind South West at 4.P.M.","Winter Harbor",1879,7,-68.09811741,44.39116851,"farm"
1879-07-25,"The wind North West in the forenoon & South West in the afternoon Thermometer 62° work all day haying wrote letters to Mrs Bessie E Crant and M. Gallart &Co. received letter from Miss Guenlief","Winter Harbor",1879,7,-68.09811741,44.39116851,"farm"
1879-07-26,"The wind Easterly Thermometer 60 and overcast mowed in the forenoon but did not open or spread my for hay day","Winter Harbor",1879,7,-68.09811741,44.39116851,"farm"
1879-08-20,"The wind North West Thermometer 67 degrees Finished the mast step in the Hayward yatch. Went to South Gouldsboro wharf with my boarders trunks","South Gouldsboro",1879,8,-68.109596,44.42952,"farm"
1880-05-19,"The wind Southerly Thermometer 55° Took up my troll to do other work with the intention of heeping it uo untill after I do some farming. Turned Acorn and ball to go on Spire of Chapel.","Winter Harbor",1880,5,-68.09811741,44.39116851,"farm"
1880-05-24,"Wind Southerly & foggy Commenced farming plowed all day with the help of Henry Sargent. Acknowledged deed for A.J.Baker Thermometer 65","Winter Harbor",1880,5,-68.09811741,44.39116851,"farm"
1880-05-26,"Wind Southerly and pleasant Thermometer. 65 degrees Work about home farming Mr Asher Palmer Ordainedin the evening.","Winter Harbor",1880,5,-68.09811741,44.39116851,"farm"
1880-05-29,"Wind West North West Thermometer 68 degrees Work all day farming. plowing and hauling dressing. Received a Check from the Post Office for $12.38 for Carrying mail. Route 365","Winter Harbor",1880,5,-68.09811741,44.39116851,"farm"
1880-06-03,"Wind East fresh breeze and clear Thermometer 65 work all day farming covering potatoes and hauling dresing","Winter Harbor",1880,6,-68.09811741,44.39116851,"farm"
1880-07-22,"Wind South Easterly and thick with fog Thermometer 68 work about house. wrote letter to C. Y. Bunker Commenced haying for my self.","Winter Harbor",1880,7,-68.09811741,44.39116851,"farm"
1880-07-27,"The wind Southerly and thick with gof untill 10 am when the wind came from the westward and the sun came out work all day haying at 4 P.M. wind Southerly again and thick","Winter Harbor",1880,7,-68.09811741,44.39116851,"farm"
1880-07-28,"The wind North West in forenoon & South West in afternoon. Work all day haying Thermometer at Noon 84 degrees ar night cooler","Winter Harbor",1880,7,-68.09811741,44.39116851,"farm"
1880-07-29,"The wind North West in the forenoon & South West in afternoon work all day haying hauled in 12 stacks of hay Thermometer 86 degrees at noon","Winter Harbor",1880,7,-68.09811741,44.39116851,"farm"
1880-07-30,"The wind North West untill the middle of the afternoon. then South West Thermometer 78 degrees Work all day haying hauled in 77 stacks of hay","Winter Harbor",1880,7,-68.09811741,44.39116851,"farm"
1880-07-31,"Wind North West in forenoon South West in afternoon work all day haying hauled in 51 stacks of hay. Thermometer at noon was 78 degrees high received letter from C. J. Abbot. Atty at Law. Casting called for advertising in Boston Traveller.","Winter Harbor",1880,7,-68.09811741,44.39116851,"farm"
1880-08-01,"Wind Southerly all day Thermometer at noon 81° hauled in one load of hay about 24 stacks.","Winter Harbor",1880,8,-68.09811741,44.39116851,"farm"
1881-02-19,"The wind Northerly Thermometer 32 degrees At home weighing hay for J. H. Kingsley & JennieTracy.","Winter Harbor",1881,2,-68.09811741,44.39116851,"farm"
1881-03-16,"The wind South East Thermometer 33 degrees Work in the forenoon for H E Tracy. In the afternoon weighed hay for Jennie Tracy","Winter Harbor",1881,3,-68.09811741,44.39116851,"farm"
1881-03-19,"The wind Easterly Thermometer 38 dehrees Weighed hay for Jennie Tracy and worked on my dora","Winter Harbor",1881,3,-68.09811741,44.39116851,"farm"
1881-03-24,"Wind North West Thermometer 42 above made centre box for my dora sold and weighed hay for Chas Smith","Winter Harbor",1881,3,-68.09811741,44.39116851,"farm"
1881-06-02,"The wind South East Thermometer 67 degrees Commenced farming done all ploving Recd execution against J. L. Andrews for me to collect as Constable from the Office of Geo M Warren G. Stevens Plaintiff","Winter Harbor",1881,6,-68.09811741,44.39116851,"farm"
1881-06-07,"The wind South West work all day farming with J.F.Kingsleys horse and the help of Geo. Gerrish Finished hauling out dressing and planted corn beans & c. Thermometer 50","Winter Harbor",1881,6,-68.09811741,44.39116851,"farm"
1881-06-11,"The wind E. S. East and pleasant Thermometer 62 degrees bought of James A Stevens 2 Hds salt and got it a shore finished sewing garden and all farming for the spring Recd letter from J.H.West","Winter Harbor",1881,6,-68.09811741,44.39116851,"farm"
1882-06-12,"Wind Northerly in forenoon Clement Bunker Came to do my farming. In morning I held plow untill 9 oclock in forenoon and left linn and went on board the Sea Queen to go out for Franklin Island. At one PM took the wind out when abrest of onter end of Iron Bound. Anchored at Sullivan at 3 Went ashore got new Coasting Licence. At 5 got underway and went over Falls and up to Franklin At Sunset went ashore and agreceived to load for J.P. Gordon with Granite paving blocks for New York at $26 per 1.000","Winter Harbor",1882,6,-68.09811741,44.39116851,"farm"
1882-06-12,"Wind Northerly in forenoon Clement Bunker Came to do my farming. In morning I held plow untill 9 oclock in forenoon and left linn and went on board the Sea Queen to go out for Franklin Island. At one PM took the wind out when abrest of onter end of Iron Bound. Anchored at Sullivan at 3 Went ashore got new Coasting Licence. At 5 got underway and went over Falls and up to Franklin At Sunset went ashore and agreceived to load for J.P. Gordon with Granite paving blocks for New York at $26 per 1.000","Iron Bound",1882,6,-68.133407,44.39197,"farm"
1882-06-12,"Wind Northerly in forenoon Clement Bunker Came to do my farming. In morning I held plow untill 9 oclock in forenoon and left linn and went on board the Sea Queen to go out for Franklin Island. At one PM took the wind out when abrest of onter end of Iron Bound. Anchored at Sullivan at 3 Went ashore got new Coasting Licence. At 5 got underway and went over Falls and up to Franklin At Sunset went ashore and agreceived to load for J.P. Gordon with Granite paving blocks for New York at $26 per 1.000","Franklin",1882,6,-68.225999096,44.585497658,"farm"
1883-07-30,"Wind Southerly and in forenoon thick with fog. Was about home all day. agreceived with Chas Straw to get the hay. let the Workshop to Mr. Staples for $1. per mouth for a tin shop paid the taxes fo the year. Settled accts with Capt N. Hammond","Winter Harbor",1883,7,-68.09811741,44.39116851,"farm"
1884-02-26,"Wind Easterly. At 10 AM Nichols Bunker came from West Gouldsboro and bought Mr Kingsleys horse In the forenoon hauled a load of hay out to the sheep. and in the afternoon work on GW. Tracys boom. snowy","West Gouldsboro",1884,2,-68.09937127,44.46922347,"farm"
1884-03-07,"Wind NorthEast and in the afternoon snow hauled a load of hay to the back field, and cleared up the shop chamber","Winter Harbor",1884,3,-68.09811741,44.39116851,"farm"
1884-03-22,"Wind South West and warm. hauled hay from my barn to Mrs Kingsleys sheep house In the afternoon went to District meeting to see about dividing the School house into two rooms. but the District did not agree and the School house is not to be divided by a partittan running through as was in the warrant. and the meeting adjourned","Winter Harbor",1884,3,-68.09811741,44.39116851,"farm"
1885-02-11,"Wind SouthWest Sold one halfton hay to J J Roberts In the evening went to the Masonic meeting at the Hall","Winter Harbor",1885,2,-68.09811741,44.39116851,"farm"
1873-05-19,"The wind N.W. plowing in the forenoon and in the afternoon getting ready to go a fishing","Winter Harbor",1873,5,-68.09811741,44.39116851,"fish"
1873-05-20,"The wind N.E.and.S.W went a fishing got 20 Codfish in the Mermaid","Winter Harbor",1873,5,-68.09811741,44.39116851,"fish"
1873-06-07,"The wind N. East went fishing raining read letters from Geo. A. Dyer. Arno Wiswell. Charles C. Burrill all of Ellsworth also one from Perley and Russell of Portland.","Winter Harbor",1873,6,-68.09811741,44.39116851,"fish"
1873-06-14,"The wind East and clear went out fishing got 9 went to lodge of Good Templars in evening rainy at 10 PM.","Winter Harbor",1873,6,-68.09811741,44.39116851,"fish"
1873-06-19,"The wind Southerly and Easterly started out fishing moderate and came back finished roping jib top sail. Hauled home stove and half doz chairs","Winter Harbor",1873,6,-68.09811741,44.39116851,"fish"
1873-06-21,"The wind North West went a fishing A. squall of rain and hail at night went to Lodge of Good Templars","Winter Harbor",1873,6,-68.09811741,44.39116851,"fish"
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Winter Harbor",1875,7,-68.09811741,44.39116851,"fish"
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Turtle Island",1875,7,-70.03422,44.43423,"fish"
1875-07-24,"The wind N.N.W went lobstering in morning. and opened hay in the afternoon. went down on Turtle Island and got fish of Alvin Foss put up the hay at night. Recd letter from James Chilcott","Winter Harbor",1875,7,-68.09811741,44.39116851,"fish"
1875-07-28,"The wind Southerly and foggy. work in garden washed out fish and work in shop finished the Crib.","Winter Harbor",1875,7,-68.09811741,44.39116851,"fish"
1876-08-26,"THe wind Westerly in the forenoon and South West in the afternoon went on turtle Island and got some fish of Alvin Foss","Winter Harbor",1876,8,-68.09811741,44.39116851,"fish"
1876-08-26,"THe wind Westerly in the forenoon and South West in the afternoon went on turtle Island and got some fish of Alvin Foss","Turtle Island",1876,8,-70.03422,44.43423,"fish"
1876-08-26,"THe wind Westerly in the forenoon and South West in the afternoon went on turtle Island and got some fish of Alvin Foss","Winter Harbor",1876,8,-68.09811741,44.39116851,"fish"
1876-08-28,"The wind W.N.W. Port falde bottom. on fora for Alvin Foss and washed out some fish","Winter Harbor",1876,8,-68.09811741,44.39116851,"fish"
1879-06-18,"The wind Northerly Clear Thermometer 52 degrees In the afternoon went down to Schoodic Island and built a tank to pall fish in for Jabez Myriek stoped on the Island all night","Winter Harbor",1879,6,-68.09811741,44.39116851,"fish"
1880-01-07,"The wind moderate Easterly and fine weather Thermometer 50 Commenced repairing Warren Smith Skiff in the fish house In the Evening Steam boat wharf meeting.","Winter Harbor",1880,1,-68.09811741,44.39116851,"fish"
1880-03-10,"The wind North North west. Work all day on boat for Warren Smith in the fish house. Thermometer 35 degrees above zero.","Winter Harbor",1880,3,-68.09811741,44.39116851,"fish"
1880-04-01,"The wind North East Thermometer 35 degrees Administered the oath to the P.M. quarterly returns took my boat out of the fishouse that I have been repairing.","Winter Harbor",1880,4,-68.09811741,44.39116851,"fish"
1880-05-03,"Wind North East. work 3/4 day shingling for Capt N.A.Bickford & finished work. and at night baited troll ready to go a fishing Thermometer 44 degrees","Winter Harbor",1880,5,-68.09811741,44.39116851,"fish"
1880-05-04,"Calm in morning went out fishing and set troll in Egg Rock Channel got one 1 a half tubs of fish back in the afternoon wind South West fresh breeze Thermometer 57 degrees","Egg Rock",1880,5,-68.138067,44.354544,"fish"
1880-05-05,"Wind Easterly and heavy rain in morning Cleared up in the afternoon made a floaling stage to dress fish on Thermometer 70°","Winter Harbor",1880,5,-68.09811741,44.39116851,"fish"
